2017-02-19 10:24:15,143	INFO	main	<module>	Line:13	app started
2017-02-19 10:24:15,150	INFO	_internal	_log	Line:87	 * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
2017-02-19 10:25:09,175	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:25:09] "GET / HTTP/1.1" 200 -
2017-02-19 10:25:09,593	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:25:09] "GET /swaggerui/bower/swagger-ui/dist/css/typography.css HTTP/1.1" 304 -
2017-02-19 10:25:09,602	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:25:09] "GET /swaggerui/bower/swagger-ui/dist/css/reset.css HTTP/1.1" 304 -
2017-02-19 10:25:09,610	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:25:09] "GET /swaggerui/bower/swagger-ui/dist/css/screen.css HTTP/1.1" 304 -
2017-02-19 10:25:09,613	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:25:09] "GET /swaggerui/bower/swagger-ui/dist/lib/jquery-1.8.0.min.js HTTP/1.1" 304 -
2017-02-19 10:25:09,616	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:25:09] "GET /swaggerui/bower/swagger-ui/dist/lib/jquery.slideto.min.js HTTP/1.1" 304 -
2017-02-19 10:25:09,624	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:25:09] "GET /swaggerui/bower/swagger-ui/dist/lib/jquery.wiggle.min.js HTTP/1.1" 304 -
2017-02-19 10:25:09,626	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:25:09] "GET /swaggerui/bower/swagger-ui/dist/lib/jquery.ba-bbq.min.js HTTP/1.1" 304 -
2017-02-19 10:25:09,629	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:25:09] "GET /swaggerui/bower/swagger-ui/dist/lib/handlebars-2.0.0.js HTTP/1.1" 304 -
2017-02-19 10:25:09,632	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:25:09] "GET /swaggerui/bower/swagger-ui/dist/lib/underscore-min.js HTTP/1.1" 304 -
2017-02-19 10:25:09,637	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:25:09] "GET /swaggerui/bower/swagger-ui/dist/lib/backbone-min.js HTTP/1.1" 304 -
2017-02-19 10:25:09,639	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:25:09] "GET /swaggerui/bower/swagger-ui/dist/swagger-ui.min.js HTTP/1.1" 304 -
2017-02-19 10:25:09,642	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:25:09] "GET /swaggerui/bower/swagger-ui/dist/lib/highlight.7.3.pack.js HTTP/1.1" 304 -
2017-02-19 10:25:09,644	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:25:09] "GET /swaggerui/bower/swagger-ui/dist/lib/jsoneditor.min.js HTTP/1.1" 304 -
2017-02-19 10:25:09,647	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:25:09] "GET /swaggerui/bower/swagger-ui/dist/lib/marked.js HTTP/1.1" 304 -
2017-02-19 10:25:09,649	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:25:09] "GET /swaggerui/bower/swagger-ui/dist/lib/swagger-oauth.js HTTP/1.1" 304 -
2017-02-19 10:25:09,904	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:25:09] "GET /swaggerui/bower/swagger-ui/dist/fonts/DroidSans.ttf HTTP/1.1" 304 -
2017-02-19 10:25:09,910	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:25:09] "GET /swagger.json HTTP/1.1" 200 -
2017-02-19 10:25:10,035	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:25:10] "GET /swaggerui/bower/swagger-ui/dist/fonts/DroidSans-Bold.ttf HTTP/1.1" 304 -
2017-02-19 10:25:10,087	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:25:10] "GET /favicon.ico HTTP/1.1" 404 -
2017-02-19 10:25:10,096	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:25:10] "GET /favicon.ico HTTP/1.1" 404 -
2017-02-19 10:43:15,349	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:43:15] "GET / HTTP/1.1" 200 -
2017-02-19 10:43:15,438	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:43:15] "GET /swaggerui/bower/swagger-ui/dist/css/typography.css HTTP/1.1" 200 -
2017-02-19 10:43:15,441	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:43:15] "GET /swaggerui/bower/swagger-ui/dist/css/reset.css HTTP/1.1" 200 -
2017-02-19 10:43:15,444	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:43:15] "GET /swaggerui/bower/swagger-ui/dist/css/screen.css HTTP/1.1" 200 -
2017-02-19 10:43:15,450	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:43:15] "GET /swaggerui/bower/swagger-ui/dist/lib/jquery-1.8.0.min.js HTTP/1.1" 200 -
2017-02-19 10:43:15,457	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:43:15] "GET /swaggerui/bower/swagger-ui/dist/lib/jquery.slideto.min.js HTTP/1.1" 200 -
2017-02-19 10:43:15,461	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:43:15] "GET /swaggerui/bower/swagger-ui/dist/lib/jquery.wiggle.min.js HTTP/1.1" 200 -
2017-02-19 10:43:15,464	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:43:15] "GET /swaggerui/bower/swagger-ui/dist/lib/jquery.ba-bbq.min.js HTTP/1.1" 200 -
2017-02-19 10:43:15,468	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:43:15] "GET /swaggerui/bower/swagger-ui/dist/lib/handlebars-2.0.0.js HTTP/1.1" 200 -
2017-02-19 10:43:15,473	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:43:15] "GET /swaggerui/bower/swagger-ui/dist/lib/underscore-min.js HTTP/1.1" 200 -
2017-02-19 10:43:15,477	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 10:43:15] "GET /swaggerui/bower/swagger-ui/dist/lib/backbone-min.js HTTP/1.1" 200 -
