2017-02-19 18:40:40,174	INFO	main	<module>	Line:13	app started
2017-02-19 18:40:40,179	INFO	_internal	_log	Line:87	 * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
2017-02-19 18:41:39,635	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 18:41:39] "OPTIONS /account/d895fda3df17571a84041006d8d81e91 HTTP/1.1" 200 -
2017-02-19 18:41:39,672	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 18:41:39] "POST /account/d895fda3df17571a84041006d8d81e91 HTTP/1.1" 500 -
2017-02-19 18:46:36,581	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 18:46:36] "OPTIONS /account/d895fda3df17571a84041006d8d81e91 HTTP/1.1" 200 -
2017-02-19 18:46:36,625	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 18:46:36] "POST /account/d895fda3df17571a84041006d8d81e91 HTTP/1.1" 500 -
2017-02-19 18:47:01,921	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 18:47:01] "OPTIONS /account/d895fda3df17571a84041006d8d81e91 HTTP/1.1" 200 -
2017-02-19 18:47:01,937	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 18:47:01] "POST /account/d895fda3df17571a84041006d8d81e91 HTTP/1.1" 500 -
2017-02-19 18:48:03,342	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 18:48:03] "OPTIONS /account/d895fda3df17571a84041006d8d81e91 HTTP/1.1" 200 -
2017-02-19 18:48:03,381	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 18:48:03] "POST /account/d895fda3df17571a84041006d8d81e91 HTTP/1.1" 200 -
2017-02-19 18:48:59,067	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 18:48:59] "OPTIONS /account/d895fda3df17571a84041006d8d81e91 HTTP/1.1" 200 -
2017-02-19 18:48:59,069	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 18:48:59] "OPTIONS /account/d895fda3df17571a84041006d8d81e91 HTTP/1.1" 200 -
2017-02-19 18:48:59,072	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 18:48:59] "OPTIONS /account/d895fda3df17571a84041006d8d81e91 HTTP/1.1" 200 -
2017-02-19 18:48:59,125	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 18:48:59] "POST /account/d895fda3df17571a84041006d8d81e91 HTTP/1.1" 200 -
2017-02-19 18:48:59,152	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 18:48:59] "POST /account/d895fda3df17571a84041006d8d81e91 HTTP/1.1" 200 -
2017-02-19 18:48:59,172	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 18:48:59] "POST /account/d895fda3df17571a84041006d8d81e91 HTTP/1.1" 200 -
2017-02-19 18:49:52,417	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 18:49:52] "OPTIONS /account/d895fda3df17571a84041006d8d81e91 HTTP/1.1" 200 -
2017-02-19 18:49:52,437	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 18:49:52] "OPTIONS /account/d895fda3df17571a84041006d8d81e91 HTTP/1.1" 200 -
2017-02-19 18:49:52,440	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 18:49:52] "OPTIONS /account/d895fda3df17571a84041006d8d81e91 HTTP/1.1" 200 -
2017-02-19 18:49:52,489	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 18:49:52] "POST /account/d895fda3df17571a84041006d8d81e91 HTTP/1.1" 200 -
