2017-02-25 13:26:04,892	INFO	main	<module>	Line:13	app started
2017-02-25 13:26:04,909	INFO	_internal	_log	Line:87	 * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
2017-02-25 13:26:05,056	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:26:05] "GET /account/1/77a0891f1f8e339d80c07507c23fdf90 HTTP/1.1" 200 -
2017-02-25 13:26:09,225	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:26:09] "GET /account/2/77a0891f1f8e339d80c07507c23fdf90 HTTP/1.1" 200 -
2017-02-25 13:26:20,580	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:26:20] "GET /account/3/77a0891f1f8e339d80c07507c23fdf90 HTTP/1.1" 200 -
2017-02-25 13:26:26,436	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:26:26] "GET /account/4/77a0891f1f8e339d80c07507c23fdf90 HTTP/1.1" 200 -
2017-02-25 13:26:29,409	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:26:29] "GET /account/1/77a0891f1f8e339d80c07507c23fdf90 HTTP/1.1" 200 -
2017-02-25 13:26:53,246	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:26:53] "OPTIONS /login/ HTTP/1.1" 200 -
2017-02-25 13:26:53,284	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:26:53] "POST /login/ HTTP/1.1" 200 -
2017-02-25 13:26:53,427	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:26:53] "GET /account/1/b60c833ea5cdef431a71a8501db64f19 HTTP/1.1" 200 -
2017-02-25 13:27:17,043	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:27:17] "GET /account/1/b60c833ea5cdef431a71a8501db64f19 HTTP/1.1" 200 -
2017-02-25 13:28:28,464	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:28:28] "GET /account/1/b60c833ea5cdef431a71a8501db64f19 HTTP/1.1" 200 -
2017-02-25 13:29:00,488	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:29:00] "GET /account/1/b60c833ea5cdef431a71a8501db64f19 HTTP/1.1" 200 -
2017-02-25 13:29:07,711	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:29:07] "GET /account/1/b60c833ea5cdef431a71a8501db64f19 HTTP/1.1" 200 -
2017-02-25 13:29:35,208	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:29:35] "GET /account/1/b60c833ea5cdef431a71a8501db64f19 HTTP/1.1" 200 -
2017-02-25 13:29:39,331	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:29:39] "GET /account/1/b60c833ea5cdef431a71a8501db64f19 HTTP/1.1" 200 -
2017-02-25 13:30:15,660	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:30:15] "GET /account/1/b60c833ea5cdef431a71a8501db64f19 HTTP/1.1" 200 -
2017-02-25 13:30:24,189	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:30:24] "GET /account/1/b60c833ea5cdef431a71a8501db64f19 HTTP/1.1" 200 -
2017-02-25 13:30:28,643	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:30:28] "GET /account/1/b60c833ea5cdef431a71a8501db64f19 HTTP/1.1" 200 -
2017-02-25 13:31:10,721	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:31:10] "GET /account/1/b60c833ea5cdef431a71a8501db64f19 HTTP/1.1" 200 -
2017-02-25 13:31:35,240	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:31:35] "GET /account/1/b60c833ea5cdef431a71a8501db64f19 HTTP/1.1" 200 -
2017-02-25 13:31:49,520	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:31:49] "GET /account/1/b60c833ea5cdef431a71a8501db64f19 HTTP/1.1" 200 -
2017-02-25 13:32:27,171	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:32:27] "GET /account/1/b60c833ea5cdef431a71a8501db64f19 HTTP/1.1" 200 -
2017-02-25 13:32:48,962	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:32:48] "GET /account/1/b60c833ea5cdef431a71a8501db64f19 HTTP/1.1" 200 -
2017-02-25 13:33:07,206	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:33:07] "GET /account/1/b60c833ea5cdef431a71a8501db64f19 HTTP/1.1" 200 -
2017-02-25 13:33:14,468	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:33:14] "GET /account/1/b60c833ea5cdef431a71a8501db64f19 HTTP/1.1" 200 -
2017-02-25 13:33:37,603	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:33:37] "GET /account/1/b60c833ea5cdef431a71a8501db64f19 HTTP/1.1" 200 -
2017-02-25 13:33:40,484	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:33:40] "GET /account/1/b60c833ea5cdef431a71a8501db64f19 HTTP/1.1" 200 -
2017-02-25 13:33:46,382	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:33:46] "GET /account/2/b60c833ea5cdef431a71a8501db64f19 HTTP/1.1" 200 -
2017-02-25 13:34:15,743	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:34:15] "GET /account/2/b60c833ea5cdef431a71a8501db64f19 HTTP/1.1" 200 -
2017-02-25 13:34:23,997	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:34:23] "GET /account/2/b60c833ea5cdef431a71a8501db64f19 HTTP/1.1" 200 -
