2017-02-19 19:15:15,374	INFO	main	<module>	Line:13	app started
2017-02-19 19:15:15,378	INFO	_internal	_log	Line:87	 * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
2017-02-19 19:15:16,598	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 19:15:16] "GET /account/summary/f3c7771e6b2ea43221dd3440c11817c4 HTTP/1.1" 200 -
2017-02-19 19:37:03,858	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 19:37:03] "GET /account/summary/d895fda3df17571a84041006d8d81e91 HTTP/1.1" 200 -
2017-02-19 19:37:39,494	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 19:37:39] "GET /account/summary/d895fda3df17571a84041006d8d81e91 HTTP/1.1" 200 -
2017-02-19 19:38:31,461	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 19:38:31] "GET /account/summary/d895fda3df17571a84041006d8d81e91 HTTP/1.1" 200 -
2017-02-19 19:38:34,542	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 19:38:34] "GET /account/summary/d895fda3df17571a84041006d8d81e91 HTTP/1.1" 200 -
2017-02-19 19:38:40,592	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 19:38:40] "GET /login/d895fda3df17571a84041006d8d81e91 HTTP/1.1" 200 -
2017-02-19 19:38:51,374	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 19:38:51] "OPTIONS /login/ HTTP/1.1" 200 -
2017-02-19 19:38:51,407	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 19:38:51] "POST /login/ HTTP/1.1" 200 -
2017-02-19 19:38:52,855	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 19:38:52] "GET /account/summary/4f70c86b514e7180acb86218e4af066a HTTP/1.1" 200 -
2017-02-19 19:41:18,367	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 19:41:18] "GET /account/summary/4f70c86b514e7180acb86218e4af066a HTTP/1.1" 200 -
2017-02-19 19:42:29,306	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 19:42:29] "GET /account/summary/4f70c86b514e7180acb86218e4af066a HTTP/1.1" 200 -
2017-02-19 19:42:33,046	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 19:42:33] "GET /account/summary/4f70c86b514e7180acb86218e4af066a HTTP/1.1" 200 -
2017-02-19 19:43:05,510	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 19:43:05] "GET /account/summary/4f70c86b514e7180acb86218e4af066a HTTP/1.1" 200 -
2017-02-19 19:44:38,340	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 19:44:38] "GET /account/summary/4f70c86b514e7180acb86218e4af066a HTTP/1.1" 200 -
2017-02-19 19:44:40,752	INFO	_internal	_log	Line:87	192.168.99.1 - - [19/Feb/2017 19:44:40] "GET /account/summary/4f70c86b514e7180acb86218e4af066a HTTP/1.1" 200 -
