2017-02-25 12:53:04,068	INFO	main	<module>	Line:13	app started
2017-02-25 12:53:04,084	INFO	_internal	_log	Line:87	 * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
2017-02-25 12:53:06,188	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 12:53:06] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 12:54:53,485	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 12:54:53] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 12:55:41,034	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 12:55:41] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 12:56:14,012	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 12:56:14] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 12:56:58,485	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 12:56:58] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 12:57:11,962	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 12:57:11] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 12:57:16,343	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 12:57:16] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 12:58:21,728	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 12:58:21] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 12:59:29,742	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 12:59:29] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 12:59:51,470	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 12:59:51] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 13:00:19,414	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:00:19] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 13:00:31,821	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:00:31] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 13:01:50,860	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:01:50] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 13:02:00,952	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:02:00] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 13:02:03,967	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:02:03] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 13:02:18,460	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:02:18] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 13:02:23,594	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:02:23] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 13:07:06,920	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:07:06] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 13:07:14,590	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:07:14] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 13:07:21,693	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:07:21] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 13:07:42,187	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:07:42] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 13:07:49,859	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:07:49] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 13:08:23,286	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:08:23] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 13:08:26,336	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:08:26] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 13:08:31,004	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:08:31] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 13:08:34,499	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:08:34] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 13:08:47,664	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:08:47] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 13:09:09,496	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:09:09] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 13:09:17,341	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:09:17] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
2017-02-25 13:09:58,598	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 13:09:58] "GET /account/1/da585a8954902a9399a2890cec473c91 HTTP/1.1" 200 -
